Date,TotalSales,DayOfWeek,Precipitation,Unique
2023-01-01,3,Sunday,1,2
2023-01-02,8,Monday,1,7
2023-01-03,19,Tuesday,1,19
2023-01-04,4,Wednesday,1,4
2023-01-05,7,Thursday,1,6
2023-01-06,10,Friday,1,10
2023-01-07,16,Saturday,0,15
2023-01-08,8,Sunday,1,8
2023-01-09,4,Monday,1,4
2023-01-10,10,Tuesday,0,8
2023-01-11,4,Wednesday,1,4
2023-01-12,12,Thursday,0,10
2023-01-13,6,Friday,0,6
2023-01-14,8,Saturday,0,8
2023-01-15,15,Sunday,0,15
2023-01-16,11,Monday,0,11
2023-01-17,6,Tuesday,0,6
2023-01-18,7,Wednesday,0,7
2023-01-19,6,Thursday,0,5
2023-01-20,15,Friday,0,12
2023-01-21,14,Saturday,0,14
2023-01-22,14,Sunday,0,13
2023-01-23,6,Monday,1,6
2023-01-24,15,Tuesday,1,15
2023-01-25,5,Wednesday,1,5
2023-01-26,8,Thursday,1,8
2023-01-27,16,Friday,0,16
2023-01-28,9,Saturday,0,8
2023-01-29,13,Sunday,0,13
2023-01-30,7,Monday,0,7
2023-01-31,8,Tuesday,0,8
2023-02-01,6,Wednesday,0,6
2023-02-02,4,Thursday,0,3
2023-02-03,11,Friday,0,11
2023-02-04,17,Saturday,0,17
2023-02-05,18,Sunday,1,18
2023-02-06,6,Monday,1,6
2023-02-07,16,Tuesday,1,14
2023-02-08,5,Wednesday,1,5
2023-02-09,5,Thursday,1,5
2023-02-10,13,Friday,1,13
2023-02-11,21,Saturday,1,20
2023-02-12,17,Sunday,0,15
2023-02-13,11,Monday,1,11
2023-02-14,8,Tuesday,0,8
2023-02-15,12,Wednesday,0,11
2023-02-16,9,Thursday,0,7
2023-02-17,12,Friday,0,8
2023-02-18,15,Saturday,1,15
2023-02-19,18,Sunday,1,17
2023-02-20,7,Monday,1,7
2023-02-21,9,Tuesday,0,8
2023-02-22,13,Wednesday,1,13
2023-02-23,5,Thursday,1,5
2023-02-24,8,Friday,1,8
2023-02-25,14,Saturday,0,14
2023-02-26,24,Sunday,0,24
2023-02-27,14,Monday,0,14
2023-02-28,13,Tuesday,0,13
2023-03-01,11,Wednesday,1,11
2023-03-02,11,Thursday,1,10
2023-03-03,12,Friday,0,12
2023-03-04,27,Saturday,0,23
2023-03-05,32,Sunday,0,31
2023-03-06,23,Monday,1,18
2023-03-07,14,Tuesday,1,14
2023-03-08,26,Wednesday,0,26
2023-03-09,9,Thursday,0,9
2023-03-10,12,Friday,0,12
2023-03-11,31,Saturday,1,29
2023-03-12,30,Sunday,1,29
2023-03-13,16,Monday,0,15
2023-03-14,16,Tuesday,0,13
2023-03-15,14,Wednesday,1,11
2023-03-16,9,Thursday,1,8
2023-03-17,11,Friday,0,10
2023-03-18,23,Saturday,0,22
2023-03-19,22,Sunday,1,20
2023-03-20,22,Monday,0,22
2023-03-21,23,Tuesday,0,23
2023-03-22,21,Wednesday,0,20
2023-03-23,34,Thursday,0,28
2023-03-24,20,Friday,0,18
2023-03-25,31,Saturday,0,31
2023-03-26,41,Sunday,0,38
